"Genome"	"Original_Filename"	"Preprocessed_Filename"	"Kallisto_Filename"	"Species"	"GEO_Accession"	"GEO_BioSample"	"Sample_Name"	"Cell_Type"	"Cell_Line"	"Mouse_Type"	"Mouse_Cell"
"GRCm39_107"	"SRR27638596_R1(2).fastq.gz"	"QualTrim_SRR27638596_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638596"	"Mouse"	"SRR27638596"	"hCSF1_1"	"hCSF1x3"	"PBS"	"NA"	"hCSF1"	"hCSF1_PBS"
"GRCm39_107"	"SRR27638594_R1(2).fastq.gz"	"QualTrim_SRR27638594_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638594"	"Mouse"	"SRR27638594"	"hCSF1_2"	"hCSF1x1880"	"PBS"	"NA"	"hCSF1"	"hCSF1_PBS"
"GRCm39_107"	"SRR27638593_R1(2).fastq.gz"	"QualTrim_SRR27638593_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638593"	"Mouse"	"SRR27638593"	"hCSF1_3"	"hCSF1x1882"	"PBS"	"NA"	"hCSF1"	"hCSF1_PBS"
"GRCm39_107"	"SRR27638595_R1(2).fastq.gz"	"QualTrim_SRR27638595_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638595"	"Mouse"	"SRR27638595"	"hCSF1_4"	"hCSF1x1900"	"PBS"	"NA"	"hCSF1"	"hCSF1_PBS"
"GRCm39_107"	"SRR27638592_R1(2).fastq.gz"	"QualTrim_SRR27638592_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638592"	"Mouse"	"SRR27638592"	"hCSF1_5"	"hCSF1x1901"	"PBS"	"NA"	"hCSF1"	"hCSF1_PBS"
"GRCm39_107"	"SRR27638603_R1(2).fastq.gz"	"QualTrim_SRR27638603_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638603"	"Mouse"	"SRR27638603"	"hFIRE_PBS_1"	"FIREx138"	"PBS"	"NA"	"hFIRE"	"hFIRE_PBS"
"GRCm39_107"	"SRR27638601_R1(2).fastq.gz"	"QualTrim_SRR27638601_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638601"	"Mouse"	"SRR27638601"	"hFIRE_PBS_2"	"FIREx185"	"PBS"	"NA"	"hFIRE"	"hFIRE_PBS"
"GRCm39_107"	"SRR27638598_R1(2).fastq.gz"	"QualTrim_SRR27638598_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638598"	"Mouse"	"SRR27638598"	"hFIRE_PBS_3"	"FIREx190"	"PBS"	"NA"	"hFIRE"	"hFIRE_PBS"
"GRCm39_107"	"SRR27638602_R1(2).fastq.gz"	"QualTrim_SRR27638602_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638602"	"Mouse"	"SRR27638602"	"hFIRE_PBS_4"	"FIREx201"	"PBS"	"NA"	"hFIRE"	"hFIRE_PBS"
"GRCh38_99"	"SRR27638604_R1(2).fastq.gz"	"QualTrim_SRR27638604_R1(2).fastq.gz"	"Sorted_Human_SRR27638604"	"Human"	"SRR27638604"	"hFIRE_HPC_1"	"FIREx119.Microglia"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Microglia"
"GRCh38_99"	"SRR27638600_R1(2).fastq.gz"	"QualTrim_SRR27638600_R1(2).fastq.gz"	"Sorted_Human_SRR27638600"	"Human"	"SRR27638600"	"hFIRE_HPC_2"	"FIREx164.Microglia"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Microglia"
"GRCh38_99"	"SRR27638599_R1(2).fastq.gz"	"QualTrim_SRR27638599_R1(2).fastq.gz"	"Sorted_Human_SRR27638599"	"Human"	"SRR27638599"	"hFIRE_HPC_3"	"FIREx165.Microglia"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Microglia"
"GRCh38_99"	"SRR27638597_R1(2).fastq.gz"	"QualTrim_SRR27638597_R1(2).fastq.gz"	"Sorted_Human_SRR27638597"	"Human"	"SRR27638597"	"hFIRE_HPC_4"	"FIREx228.Microglia"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Microglia"
"GRCm39_107"	"SRR27638604_R1(2).fastq.gz"	"QualTrim_SRR27638604_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638604"	"Mouse"	"SRR27638604"	"hFIRE_HPC_1"	"FIREx119.Brain"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Brain"
"GRCm39_107"	"SRR27638600_R1(2).fastq.gz"	"QualTrim_SRR27638600_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638600"	"Mouse"	"SRR27638600"	"hFIRE_HPC_2"	"FIREx164.Brain"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Brain"
"GRCm39_107"	"SRR27638599_R1(2).fastq.gz"	"QualTrim_SRR27638599_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638599"	"Mouse"	"SRR27638599"	"hFIRE_HPC_3"	"FIREx165.Brain"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Brain"
"GRCm39_107"	"SRR27638597_R1(2).fastq.gz"	"QualTrim_SRR27638597_R1(2).fastq.gz"	"Sorted_Mouse_SRR27638597"	"Mouse"	"SRR27638597"	"hFIRE_HPC_4"	"FIREx228.Brain"	"HPC"	"AICS-0036"	"hFIRE"	"hFIRE_HPC_Brain"
